Model,ticker,evtdate,cret,car,bhar,nrets_est
Market Model,CHTR,2014-02-24,-0.07964199,-0.084416304,-0.082652314,100
Market Model,CHTR,2014-04-24,0.0240233144,0.0320537917,0.0321127793,100
Market Model,CHTR,2013-04-25,-0.026530026,-0.028498775,-0.028406983,100
Market Model,CHTR,2019-10-25,0.0723895675,0.0624596229,0.0630098669,100
Market Model,CHTR,2012-04-26,0.0041548945,-0.019741493,-0.019984292,100
Market Model,CHTR,2013-02-26,0.02481769,0.027507074,0.0268996809,100
Market Model,CHTR,2012-01-26,0.0171257062,0.0146844106,0.0145140458,100
Market Model,CHTR,2019-07-26,-0.039104645,-0.041334709,-0.0407772,100
Market Model,CHTR,2017-10-26,-0.060248046,-0.068642743,-0.070547052,100
Market Model,CHTR,2018-10-26,-0.016990688,-0.008717584,-0.011072026,100
Market Model,CHTR,2018-04-27,-0.096753787,-0.093490291,-0.096333234,100
Market Model,CHTR,2012-02-27,0.0009448819,-0.004259733,-0.004270709,100
Market Model,CHTR,2017-07-27,0.0639655172,0.0632272037,0.0638397045,100
Market Model,CHTR,2011-10-27,-0.08178888,-0.137500615,-0.13816525,100
Market Model,CHTR,2011-04-28,0.0662083936,0.0518699503,0.0528045548,100
Market Model,CHTR,2014-04-28,0.0510383937,0.0549565273,0.0531844746,100
Market Model,CHTR,2016-04-28,0.01032989,0.0269701479,0.0266336472,100
Market Model,CHTR,2016-01-28,-0.004704652,-0.028100402,-0.029118848,100
Market Model,CHTR,2011-07-28,-0.084590609,-0.086667487,-0.084412446,100
Market Model,CHTR,2016-04-29,0.048926997,0.0583790148,0.0592173438,100
Market Model,CHTR,2015-01-29,-0.033945981,-0.009550728,-0.009632307,100
Market Model,CHTR,2021-01-29,-0.027217513,-0.032054131,-0.036236407,100
Market Model,CHTR,2015-10-29,0.0543928433,0.0500057384,0.0500197878,100
Market Model,CHTR,2015-04-30,0.0281678552,0.0325808045,0.0325604726,100
Market Model,CHTR,2019-04-30,0.0024044306,0.0063054392,0.0063306011,100
Market Model,CHTR,2014-01-30,0.002561288,0.0072168718,0.0071449568,100
Market Model,CHTR,2015-07-30,0.006443927,-0.003176708,-0.003414465,100
Market Model,CHTR,2014-10-30,0.0062897078,-0.017975752,-0.018713137,100
